2018-01-31 11:05:27,352 INFO 57590 [egg:logger] init all loggers with options: {"dir":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/logs","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"DEBUG","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"ttv-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":true,"type":"agent"}
2018-01-31 13:24:40,911 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517368140000,"mtimeMs":1517376280000,"ctimeMs":1517376280000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:09:00.000Z","mtime":"2018-01-31T05:24:40.000Z","ctime":"2018-01-31T05:24:40.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:40,966 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517376280000,"ctimeMs":1517376280000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T05:24:40.000Z","ctime":"2018-01-31T05:24:40.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:26:23,550 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/component/layout/app/main.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191094,"size":525,"blocks":8,"atimeMs":1517376383000,"mtimeMs":1517376383000,"ctimeMs":1517376383000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:26:23.000Z","mtime":"2018-01-31T05:26:23.000Z","ctime":"2018-01-31T05:26:23.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:26:23,866 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/component/layout/app/main.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191094,"size":525,"blocks":8,"atimeMs":1517376383000,"mtimeMs":1517376383000,"ctimeMs":1517376383000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:26:23.000Z","mtime":"2018-01-31T05:26:23.000Z","ctime":"2018-01-31T05:26:23.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:26:24,454 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517376384000,"ctimeMs":1517376384000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T05:26:24.000Z","ctime":"2018-01-31T05:26:24.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:26:24,725 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517376368000,"mtimeMs":1517376384000,"ctimeMs":1517376384000,"birthtimeMs":1517367945000,"atime":"2018-01-31T05:26:08.000Z","mtime":"2018-01-31T05:26:24.000Z","ctime":"2018-01-31T05:26:24.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:27:17,787 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/component/layout/app/main.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191094,"size":534,"blocks":8,"atimeMs":1517376437000,"mtimeMs":1517376437000,"ctimeMs":1517376437000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:27:17.000Z","mtime":"2018-01-31T05:27:17.000Z","ctime":"2018-01-31T05:27:17.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:27:18,686 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517376438000,"ctimeMs":1517376438000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T05:27:18.000Z","ctime":"2018-01-31T05:27:18.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:27:18,786 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517376368000,"mtimeMs":1517376438000,"ctimeMs":1517376438000,"birthtimeMs":1517367945000,"atime":"2018-01-31T05:26:08.000Z","mtime":"2018-01-31T05:27:18.000Z","ctime":"2018-01-31T05:27:18.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:27:30,546 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/component/layout/app/main.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191094,"size":525,"blocks":8,"atimeMs":1517376450000,"mtimeMs":1517376450000,"ctimeMs":1517376450000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:27:30.000Z","mtime":"2018-01-31T05:27:30.000Z","ctime":"2018-01-31T05:27:30.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:27:30,966 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517376450000,"ctimeMs":1517376450000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T05:27:30.000Z","ctime":"2018-01-31T05:27:30.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:27:31,089 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517376368000,"mtimeMs":1517376451000,"ctimeMs":1517376451000,"birthtimeMs":1517367945000,"atime":"2018-01-31T05:26:08.000Z","mtime":"2018-01-31T05:27:31.000Z","ctime":"2018-01-31T05:27:31.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
